grid_size,cells/sec
2,906162
3,924809
4,854341
5,1.04236e+06
6,1.26342e+06
7,1.06257e+06
8,1.26969e+06
9,1.13132e+06
10,1.04666e+06
11,1.06785e+06
12,1.07761e+06
13,1.25756e+06
14,1.06515e+06
15,1.28199e+06
16,1.2844e+06
17,1.0758e+06
18,1.24185e+06
19,1.21505e+06
20,1.15103e+06
21,1.22924e+06
22,1.14819e+06
23,1.10498e+06
24,1.07646e+06
25,1.07248e+06
26,1.31831e+06
27,1.29887e+06
28,1.28332e+06
29,1.13907e+06
30,1.14768e+06
31,1.48742e+06
32,1.554e+06
33,1.42396e+06
34,1.38916e+06
35,1.1961e+06
36,997173
37,985369
38,940361
39,1.08599e+06
40,1.21593e+06
41,1.33027e+06
42,1.27736e+06
43,1.09592e+06
44,1.05772e+06
45,1.12133e+06
46,1.13086e+06
47,1.22117e+06
48,1.02866e+06
49,1.0171e+06
50,1.32074e+06
51,917010
52,649401
53,980514
54,870068
55,902353
56,1.16084e+06
57,1.12668e+06
58,1.02357e+06
59,1.10168e+06
60,620552
61,867886
62,1.25578e+06
63,1.41606e+06
64,1.53551e+06
65,1.38817e+06
66,1.16784e+06
67,1.26684e+06
68,1.39544e+06
69,1.52238e+06
70,1.2932e+06
71,1.25409e+06
72,1.36385e+06
73,1.08778e+06
74,1.27661e+06
75,1.17231e+06
76,1.27985e+06
77,1.10821e+06
78,1.26615e+06
79,1.49578e+06
80,1.34598e+06
81,1.44228e+06
82,1.45741e+06
83,1.33028e+06
84,1.073e+06
85,1.08192e+06
86,1.08338e+06
87,1.21873e+06
88,1.13868e+06
89,1.1025e+06
90,1.19842e+06
91,1.14648e+06
92,1.2568e+06
93,1.37909e+06
94,1.30468e+06
95,1.42664e+06
96,1.36548e+06
97,1.32226e+06
98,1.3507e+06
99,1.28917e+06
100,1.1359e+06
101,1.2586e+06
102,1.18079e+06
103,1.35181e+06
104,1.26421e+06
105,1.33118e+06
106,1.50015e+06
107,1.43757e+06
108,1.44581e+06
109,1.39174e+06
110,1.17966e+06
111,1.11728e+06
112,1.12174e+06
113,1.14281e+06
114,1.39698e+06
115,1.44299e+06
116,1.57054e+06
117,1.21032e+06
118,1.62554e+06
119,1.22909e+06
120,1.29366e+06
121,1.2054e+06
122,1.37831e+06
123,1.12338e+06
124,1.03623e+06
125,1.21027e+06
126,1.28853e+06
127,1.61342e+06
128,1.39729e+06
129,1.29924e+06
130,1.20524e+06
131,1.11065e+06
132,1.15272e+06
133,1.03686e+06
134,1.12699e+06
135,1.42809e+06
136,1.20952e+06
137,1.10247e+06
138,1.21369e+06
139,1.17106e+06
140,1.21735e+06
141,1.5986e+06
142,1.63199e+06
143,1.21655e+06
144,1.16336e+06
145,1.22336e+06
146,1.20934e+06
147,1.25657e+06
148,1.2612e+06
149,1.39612e+06
150,1.26865e+06
151,1.07065e+06
152,1.05848e+06
153,1.1412e+06
154,1.31885e+06
155,1.26053e+06
156,1.07569e+06
157,1.10839e+06
158,1.08078e+06
159,1.27068e+06
160,1.08098e+06
161,1.17228e+06
162,1.28055e+06
163,1.20739e+06
164,1.34669e+06
165,1.28938e+06
166,1.27999e+06
167,1.32468e+06
168,1.19099e+06
169,1.03709e+06
170,1.09257e+06
171,1.29229e+06
172,1.21656e+06
173,1.57042e+06
174,1.40199e+06
175,1.25492e+06
176,1.25507e+06
177,1.2022e+06
178,1.07911e+06
179,1.38359e+06
180,1.22592e+06
181,1.16147e+06
182,1.06236e+06
183,1.31744e+06
184,1.12223e+06
185,1.30357e+06
186,1.4167e+06
187,1.30665e+06
188,1.32585e+06
189,1.17815e+06
190,1.33579e+06
191,1.11396e+06
192,1.22293e+06
193,1.54974e+06
194,1.59013e+06
195,1.26494e+06
196,1.35443e+06
197,1.12904e+06
198,1.22135e+06
199,1.09169e+06
200,1.16785e+06
201,977573
202,1.16974e+06
203,1.39537e+06
204,1.27386e+06
205,1.13812e+06
206,1.27171e+06
207,1.01979e+06
208,1.14819e+06
209,1.60162e+06
210,1.08738e+06
211,981747
212,1.20376e+06
213,1.18868e+06
214,1.13699e+06
215,1.21122e+06
216,1.28217e+06
217,1.45582e+06
218,1.34874e+06
219,1.13202e+06
220,1.26982e+06
221,1.13045e+06
222,1.17361e+06
223,1.26758e+06
224,1.30914e+06
225,1.12444e+06
226,1.37338e+06
227,1.25265e+06
228,1.12022e+06
229,1.07827e+06
230,1.33569e+06
231,1.29147e+06
232,933423
233,1.20993e+06
234,1.28202e+06
235,1.18562e+06
236,1.09253e+06
237,1.11409e+06
238,1.07313e+06
239,1.5258e+06
240,927487
241,975974
242,1.17445e+06
243,1.07629e+06
244,1.15261e+06
245,1.10136e+06
246,1.47983e+06
247,947025
248,1.22715e+06
249,1.58611e+06
250,1.5491e+06
251,1.16032e+06
252,1.13802e+06
253,1.36184e+06
254,1.44501e+06
255,1.17378e+06
256,1.15758e+06
257,1.10672e+06
258,1.14268e+06
259,1.39345e+06
260,1.15138e+06
261,1.14355e+06
262,1.11708e+06
263,1.14784e+06
264,1.18469e+06
265,1.06782e+06
266,1.30586e+06
267,1.13072e+06
268,1.17106e+06
269,1.20858e+06
270,1.25857e+06
271,1.26643e+06
272,1.06834e+06
273,1.18555e+06
274,1.21718e+06
275,1.06501e+06
276,1.1257e+06
277,1.18959e+06
278,1.24659e+06
279,1.39163e+06
280,1.59018e+06
281,1.26912e+06
282,1.16017e+06
283,1.23588e+06
284,1.14697e+06
285,1.35893e+06
286,1.41719e+06
287,1.16491e+06
288,1.1812e+06
289,1.15826e+06
290,1.31422e+06
291,1.20223e+06
292,961186
293,1.18546e+06
294,1.05365e+06
295,1.2645e+06
296,1.26655e+06
297,1.15308e+06
298,1.00937e+06
299,1.04289e+06
300,1.12111e+06
301,1.02914e+06
302,1.33555e+06
303,1.07668e+06
304,1.03749e+06
305,1.09299e+06
306,1.23357e+06
307,1.08154e+06
308,1.15662e+06
309,1.09544e+06
310,1.01747e+06
311,1.12394e+06
312,1.13773e+06
313,1.34959e+06
314,1.17033e+06
315,1.23264e+06
316,1.06978e+06
317,1.23297e+06
318,1.05162e+06
319,1.10712e+06
320,1.07425e+06
321,1.06606e+06
322,1.02789e+06
323,1.01213e+06
324,1.05144e+06
325,1.01385e+06
326,1.54073e+06
327,1.15279e+06
328,1.23392e+06
329,1.2915e+06
330,1.15866e+06
331,1.17586e+06
332,1.19967e+06
333,1.40407e+06
334,1.03029e+06
335,1.11772e+06
336,1.01251e+06
337,1.04883e+06
338,1.11062e+06
339,1.58993e+06
340,1.65874e+06
341,1.6972e+06
342,1.19083e+06
343,1.24887e+06
344,1.05158e+06
345,1.20621e+06
346,1.15011e+06
347,1.48863e+06
348,1.29237e+06
349,1.0879e+06
350,1.25338e+06
351,1.16344e+06
352,1.16678e+06
353,1.07884e+06
354,1.14947e+06
355,1.20271e+06
356,1.51852e+06
357,1.13736e+06
358,1.02231e+06
359,1.32348e+06
360,1.16925e+06
361,1.25215e+06
362,1.14824e+06
363,1.54335e+06
364,1.09345e+06
365,1.11973e+06
366,1.09879e+06
367,1.43373e+06
368,1.28878e+06
369,1.233e+06
370,1.04109e+06
371,1.00193e+06
372,1.12732e+06
373,1.26553e+06
374,1.4196e+06
375,1.3585e+06
376,1.10143e+06
377,1.16318e+06
378,1.06975e+06
379,1.0994e+06
380,1.17659e+06
381,1.25646e+06
382,1.30161e+06
383,1.45929e+06
384,1.29681e+06
385,1.37746e+06
386,1.23088e+06
387,1.27106e+06
388,1.15201e+06
389,1.37547e+06
390,1.09342e+06
391,1.05807e+06
392,1.40209e+06
393,1.24566e+06
394,1.45827e+06
395,1.38341e+06
396,1.24032e+06
397,1.0538e+06
398,1.1957e+06
399,1.33871e+06
400,1.1764e+06
401,1.09909e+06
402,1.20423e+06
403,1.07001e+06
404,1.39438e+06
